ind,ch,bf,bf_deviation,isi_cv,sync_n,r_max,r,d_max,d,sfr,br,bdur_max,bdur,nspikes_burst_max,nspikes_burst,p_bursting_time,p_bursting_spike,ibi_cv,animal,group
0,1,6275,634.05,0.937627618,4,0.090306926,0.035434208,0,0,2.938888889,0.055555556,0.07979008,0.030523392,5,3.2,0.001695744,0.060491493,0.927212253,P10,ET
0,2,4594,-1046.95,1.018890907,7,0.104537338,0.042269301,0,0,1.505555556,0.066666667,0.14852096,0.053527893,6,3.333333333,0.003568526,0.147601476,0.851485869,P10,ET
0,3,2219,-3421.95,1.030934062,6,0.040903902,0.021856493,0,0,0.661111111,0.011111111,0.049152,0.03813376,3,3,0.000423708,0.050420168,,P10,ET
0,4,3731,-1909.95,1.188422694,9,0.151739286,0.034074611,0.750053099,0.116693511,0.433333333,0,,,,3,,,,P10,ET
0,8,3731,-1909.95,1.028162317,7,0.071560563,0.036214777,0.300188497,0.042884071,0.638888889,0.044444444,0.29155328,0.14445568,6,4.25,0.006420252,0.295652174,1.186193586,P10,ET
0,9,3731,-1909.95,1.33543482,9,0.151739286,0.033870434,0.750053099,0.199988254,4.533333333,0,,,,4.25,,,,P10,ET
0,10,6275,634.05,1.004880177,6,0.090306926,0.035336368,0.750053099,0.324995133,0.888888889,0.044444444,0.1396736,0.04499456,6,3.625,0.001999758,0.18125,0.486358072,P10,ET
0,11,2732,-2908.95,0.999987105,4,0.035508496,0.026151025,0.449604877,0.299814392,0.988888889,0.016666667,0.19980288,0.17522688,3,3,0.002920448,0.050561798,0.457884773,P10,ET
0,12,3731,-1909.95,1.116313723,9,0.062451488,0.020887354,0.749652693,0.116649021,0.388888889,0.011111111,0.45359104,0.29462528,6,4.5,0.003273614,0.128571429,,P10,ET
0,16,3731,-1909.95,1.105490957,6,0.104537338,0.038493211,0.750053099,0.175040266,0.605555556,0.066666667,0.16932864,0.056285867,5,3.333333333,0.003752391,0.366972477,1.345838305,P10,ET
