animal,avg_ibi,avg_spikes_burst,bf,bfr,group,max_spikes_burst,max_sync_bf_dist,max_sync_coef,mean_sync_bf_dist,mean_sync_coef,p_bursting_spikes,p_bursting_time,sfr,sync_n
B1,,6.0,7080.0,0.006510416407965962,ET,6.0,,0.0,,0.0,13.636363636363635,1.6209598917877717,0.2864583219505023,0
B1,,3.0,7856.0,0.006510416407965962,ET,3.0,,0.0,,0.0,7.6923076923076925,0.3838933230879576,0.2539062399106725,0
B1,20.78492259979248,3.1666666666666665,8717.0,0.039062498447795774,ET,4.0,,0.0,,0.0,6.95970695970696,0.35197332965440237,1.7773436793747075,0
B1,10.108057618141174,3.0,8717.0,0.03255208203982981,ET,3.0,,0.0,,0.0,5.7915057915057915,0.20056015325346974,1.6861978496631842,0
B1,6.117507417996724,3.2,7856.0,0.16276041019914905,ET,4.0,7229.0,0.035711081870969406,1962.4,0.020177645513979492,2.8388928317955995,0.14301295755255392,18.34635343764808,5
B1,5.144101160543936,3.357142857142857,7080.0,0.18229165942304693,ET,6.0,7229.0,0.029606059041727372,2117.6,0.01879704665406239,3.330970942593905,0.17639993920326474,18.372395103279946,5
B1,26.948147237300873,3.2,8717.0,0.03255208203982981,ET,4.0,0.0,0.014903816658891773,0.0,0.014903816658891773,5.079365079365079,0.26583996476372224,2.050781168509278,1
B1,48.78214486440023,3.0,7856.0,0.026041665631863848,ET,3.0,,0.0,,0.0,4.979253112033195,0.23752015381971384,1.5690103543197969,0
B1,,3.0,7080.0,0.006510416407965962,ET,3.0,,0.0,,0.0,14.285714285714285,0.5222398890658264,0.1367187445672852,0
B1,,,7080.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.09765624611948942,0
B1,22.109945869445802,3.1666666666666665,5751.0,0.039062498447795774,ET,4.0,,0.0,,0.0,6.643356643356643,0.266106633450324,1.8619790926782651,0
B1,,3.0,7080.0,0.006510416407965962,ET,3.0,,0.0,,0.0,1.1320754716981132,0.0397067811704961,1.7252603481109798,0
B1,48.52547574043274,3.5,7080.0,0.013020832815931924,ET,4.0,,0.0,,0.0,3.111111111111111,0.19320006645917628,1.4648436917923413,0
B1,,3.0,7856.0,0.006510416407965962,ET,3.0,,0.0,,0.0,1.3043478260869565,0.046613469109397364,1.4973957738321713,0
B1,8.812477439641953,3.1176470588235294,8717.0,0.11067707893542135,ET,4.0,1637.0,0.035711081870969406,1206.5,0.03265857045634839,4.330065359477124,0.20288007769465138,7.968749683350337,2
B1,17.807646711667378,3.2857142857142856,7856.0,0.04557291485576173,ET,4.0,776.0,0.023850244710275588,517.3333333333334,0.01882972529203492,4.8625792811839315,0.21514652683748697,3.0794269609679,3
B1,11.366154253482819,3.111111111111111,7856.0,0.058593747671693654,ET,4.0,0.0,0.013222951646261149,0.0,0.013222951646261149,4.046242774566474,0.18309335428105378,4.505208154312445,1
B1,28.64011263847351,3.0,,0.019531249223897887,ET,3.0,,0.0,,0.0,3.4482758620689653,0.15234651680403882,1.699218682479116,0
B1,4.462807370770362,3.28125,8717.0,0.20833332505491078,ET,5.0,2015.0,0.012920234699969203,1107.0,0.009234614403505412,4.820936639118457,0.2738130170081847,14.179686936549865,4
