animal,loc,ch,bf,bf_deviation,isi_cv,sync_n,r_max,r,d_max,d,sfr,br,bdur_max,bdur,nspikes_burst_max,nspikes_burst,p_bursting_time,p_bursting_spike,ibi_cv,group
B1,2,0,5657.0,-1307.0,1.2204860581851429,3,0.01498376699477824,0.009935729184284313,0.39991181520798413,0.2999164733003398,0.3689235964514045,0.0,,,,,,,,ET
B1,2,1,7464.0,500.0,0.9790955296698465,5,0.028847936268837804,0.02244683481883692,0.19995324252227534,0.09998785364904164,0.94762727715949,0.0,,,,,,,,ET
B1,2,2,7464.0,500.0,0.9449902201063087,8,0.12453252218166057,0.03086344589916863,0.3999118152079842,0.09998556108693418,3.4577544922308108,0.021701388026553206,0.0502169600000002,0.048332799999987706,3.0,3.0,0.0010488888472095239,0.01882845188284519,0.7023031583276194,ET
B1,2,3,6498.0,-466.0,1.023394035640418,5,0.05091688624216771,0.023467862772708886,0.19995324252227525,0.19995324252227525,2.1556712106376184,0.05063657206195748,0.08880127999999843,0.05761316571428665,3.0,3.0,0.002917333217408974,0.07046979865771812,0.5447382940545464,ET
B1,2,4,7464.0,500.0,0.9353054661679278,5,0.05515395751749983,0.035797730724626484,0.19995324252227534,0.039990648504455065,3.573495228372428,0.04340277605310641,0.3998515199999986,0.1147153066666687,9.0,4.666666666666667,0.004978962765116847,0.05668016194331984,1.0054235633197768,ET
B1,2,5,7464.0,500.0,1.0476595115767648,8,0.069470796684454,0.02798216444982679,0.19995324252227534,0.06249240853065103,1.048900421283405,0.028935184035404276,0.14139391999999873,0.12044288000000414,3.0,3.0,0.0034850368985542327,0.08275862068965517,1.2471598386875238,ET
B1,2,6,6498.0,-466.0,0.8553537719620042,5,0.04835384606920173,0.023703860968447326,0.19995324252227525,0.09996538887323365,0.41232637250451093,0.0,,,,,,,,ET
B1,2,7,8574.0,1610.0,1.0756978774776733,2,0.0390371467146913,0.02255505559533365,0.8000772093564144,0.5000483201608141,0.3761573924602556,0.0,,,,,,,,ET
B1,2,8,14929.0,7965.0,0.9719956250745962,4,0.0390371467146913,0.018196507301936,1.2000498828439037,0.7750623943518788,0.47019674057531946,0.021701388026553206,0.3898572800000011,0.27678037333333094,3.0,3.0,0.006006518279840874,0.13846153846153847,0.3957735521264013,ET
B1,2,9,6498.0,-466.0,1.1882563928613394,10,0.05412762958369733,0.02227054150663368,1.200049882843904,0.29997374919371167,0.7233796008851069,0.014467592017702138,0.17170431999998925,0.1643315199999975,3.0,3.0,0.0023774813870088233,0.06,,ET
